sentence,citation_sentence,title,citation,quote
"State sovereign immunity prohibits ""private suits against nonconsenting states in federal court.""","City of Austin v. Paxton , 943 F.3d 993, 997 (5th Cir. 2019).","City of Austin v. Paxton ,",943 F.3d 993,private suits against nonconsenting states in federal court.
"We previously interpreted this provision as ""requiring the Secretary to take action with respect to elections.""","Lightbourn v. Cnty. of El Paso , 118 F.3d 421, 429 (5th Cir. 1997).","Lightbourn v. Cnty. of El Paso ,",118 F.3d 421,requiring the Secretary to take action with respect to elections.
"A district court's ultimate decision to issue a preliminary injunction is reviewed for abuse of discretion, but ""a decision grounded in erroneous legal principles is reviewed de novo.""","Women's Med. Ctr. of Nw. Hous. v. Bell , 248 F.3d 411, 419 (5th Cir. 2001).","Women's Med. Ctr. of Nw. Hous. v. Bell ,",248 F.3d 411,a decision grounded in erroneous legal principles is reviewed de novo.
"A panel of this court agreed, observing that, unlike the Judicial Districts Board, the county lacked ""the power to re-shape judicial districts.""","LULAC v. Clements, 884 F.2d 185, 187 (5th Cir. 1989).","LULAC v. Clements,",884 F.2d 185,the power to re-shape judicial districts.
"Instead, ""a violation could be proved by showing discriminatory effect alone.""","Thornburg v. Gingles, 478 U.S. 30, 35 (1986).","Thornburg v. Gingles,",478 U.S. 30,a violation could be proved by showing discriminatory effect alone.
"Under the Fourteenth and Fifteenth Amendments, a discriminatory effect might be relevant to a showing of discriminatory intent, but it is not enough to prove ""invidious racial discrimination forbidden by the Constitution.""","Washington v. Davis, 426 U.S. 229, 242 (1976).","Washington v. Davis,",426 U.S. 229,invidious racial discrimination forbidden by the Constitution.
"Even under that dubious rule, see Tennessee v. Lane, 541 U.S. 509, 555–65 (2004) (Scalia, J., dissenting), ""it is the responsibility of this Court, not Congress, to define the substance of constitutional guarantees.""","Bd. of Trustees of Univ. of Alabama v. Garrett, 531 U.S. 356, 365 (2001).","Bd. of Trustees of Univ. of Alabama v. Garrett,",531 U.S. 356,"it is the responsibility of this Court, not Congress, to define the substance of constitutional guarantees."
"""Distinctions between citizens solely because of their ancestry are by their very nature odious to a free people whose institutions are founded upon the doctrine of equality.""","Hirabayashi v. United States, 320 U.S. 81, 100 (1943).","Hirabayashi v. United States,",320 U.S. 81,Distinctions between citizens solely because of their ancestry are by their very nature odious to a free people whose institutions are founded upon the doctrine of equality.
"Racial classifications ""reinforce the belief, held by too many for too much of our history, that individuals should be judged by the color of their skin.""","Shaw v. Reno, 509 U.S. 630, 657 (1993).","Shaw v. Reno,",509 U.S. 630,"reinforce the belief, held by too many for too much of our history, that individuals should be judged by the color of their skin."
"Carr v. Corning, 182 F.2d 14, 18 (CADC 1950).6 This Court held that the District of Columbia could not show even a ""proper governmental objective"" sufficient for rational basis review, so compliance with Congress’s laws would be far from a compelling interest.","Bolling v. Sharpe, 347 U.S. 497, 500 (1954).","Bolling v. Sharpe,",347 U.S. 497,proper governmental objective
"In many cases, plaintiffs will be unable to draw an additional majorityminority district that also complies with traditional districting principles—for instance, ""because of the dispersion of the minority population.""","Bush v. Vera, 517 U.S. 952, 979 (1996).","Bush v. Vera,",517 U.S. 952,because of the dispersion of the minority population.
"So no textual basis exists for construing the first two ""entirely distinct"" categories to limit the third.","Loughrin v. United States, 573 U.S. 351, 357 (2014).","Loughrin v. United States,",573 U.S. 351,entirely distinct
"For instance, ""those who enacted ancient voting requirements could not be subpoenaed from their graves, and present-day legislators were protected from testifying about their motives by legislative immunity.""","United States v. Blaine Cnty., 363 F.3d 897, 908 (9th Cir. 2004).","United States v. Blaine Cnty.,",363 F.3d 897,"those who enacted ancient voting requirements could not be subpoenaed from their graves, and present-day legislators were protected from testifying about their motives by legislative immunity."
"Far from inviting the permanent or excessive use of race in redistricting, Section 2 surgically targets a set of carefully defined circumstances in which mapmakers, as in Alabama, ignored clear and reasonable alternatives that give minority voters the ability to engage in the ""pull, haul, and trade"" at the heart of the democratic process and instead, design racially polarized districts where minority voters are submerged and effectively shut out of the political process.","Johnson v. De Grandy, 512 U.S. 997, 1020 (1994).","Johnson v. De Grandy,",512 U.S. 997,"pull, haul, and trade"
"Amici States have ""primary responsibility for apportionment of their federal congressional and state legislative districts.""","Growe v. Emison, 507 U.S. 25, 34 (1993).","Growe v. Emison,",507 U.S. 25,primary responsibility for apportionment of their federal congressional and state legislative districts.
"This interpretation also reflects the understanding—enunciated by this Court just a year before the Act’s initial passage—that ""the right of suffrage can be denied by a debasement or dilution of the weight of a citizen’s vote just as effectively as by wholly prohibiting the free exercise of the franchise.""","Reynolds v. Sims, 377 U.S. 533, 555 (1964).","Reynolds v. Sims,",377 U.S. 533,the right of suffrage can be denied by a debasement or dilution of the weight of a citizen’s vote just as effectively as by wholly prohibiting the free exercise of the franchise.
"10 actually decrease the political power of those very communities.8 When this Court struck down Section 4 of the Voting Rights Act less than a decade ago, effectively eliminating the protections of Section 5, Chief Justice Roberts’s majority opinion emphasized that, ""Our decision in no way affects the permanent, nationwide ban on racial discrimination in voting found in § 2.""","Shelby County v. Holder, 570 U.S. 529, 557 (2013).","Shelby County v. Holder,",570 U.S. 529,"Our decision in no way affects the permanent, nationwide ban on racial discrimination in voting found in § 2."
"As Chief Justice Marshall declared, ""it is not on slight implication and vague conjecture that the legislature is to be pronounced to have transcended its powers, and its acts to be considered as void.""","Fletcher v. Peck, 10 U.S. 87, 128 (1810).","Fletcher v. Peck,",10 U.S. 87,"it is not on slight implication and vague conjecture that the legislature is to be pronounced to have transcended its powers, and its acts to be considered as void."
"Expert methodology assessments are squarely within the trial court’s ""broad latitude.""","Kumho Tire Co. v. Carmichael, 526 U.S. 137, 139 (1999).","Kumho Tire Co. v. Carmichael,",526 U.S. 137,broad latitude.
"Even in criminal cases, where facts must be proved beyond a reasonable doubt, this Court has ""never questioned the 16 sufficiency of circumstantial evidence"" to support a conviction.","Desert Palace, Inc. v. Costa, 539 U.S. 90, 100 (2003).","Desert Palace, Inc. v. Costa,",539 U.S. 90,never questioned the 16 sufficiency of circumstantial evidence
"Circumstantial evidence is ""intrinsically not different from testimonial evidence.""","Holland v. United States, 348 U.S. 121, 140 (1954).","Holland v. United States,",348 U.S. 121,intrinsically not different from testimonial evidence.
"When such a showing is made, the challenged law will survive only if the defendant can ""demonstrate that the law would have been enacted"" absent any discriminatory intent.","Hunter v. Underwood, 471 U.S. 222, 228 (1985).","Hunter v. Underwood,",471 U.S. 222,demonstrate that the law would have been enacted
"The voting change at issue must be measured against the benchmark practice to determine whether it would ""lead to a retrogression in the position of racial minorities with respect to their effective exercise of the electoral franchise.""","Beer v. United States, 425 U.S. 130, 141 (1976).","Beer v. United States,",425 U.S. 130,lead to a retrogression in the position of racial minorities with respect to their effective exercise of the electoral franchise.
"""As in all statutory construction cases, we begin with the language of the statute.""","Barnhart v. Sigmon Coal Co. , 534 U.S. 438, 450 (2002).","Barnhart v. Sigmon Coal Co. ,",534 U.S. 438,"As in all statutory construction cases, we begin with the language of the statute."
"We may also look to ""well-reasoned decisions from other jurisdictions.""","Takahasi v. Loomis Armored Car Service, 625 F.2d 314, 316 (9th Cir. 1980).","Takahasi v. Loomis Armored Car Service,",625 F.2d 314,well-reasoned decisions from other jurisdictions.
"The purpose of the Declaratory Judgment Act is ""to relieve potential defendants from the Damoclean threat of impending litigation which a harassing adversary might brandish, while initiating suit at his leisure — or never.""","Societe de Conditionnement v. Hunter Engineering Co., 655 F.2d 938, 943 (9th Cir. 1981).","Societe de Conditionnement v. Hunter Engineering Co.,",655 F.2d 938,"to relieve potential defendants from the Damoclean threat of impending litigation which a harassing adversary might brandish, while initiating suit at his leisure — or never."
"The remedies for infringement ""are only those prescribed by Congress.""","Thompson v. Hubbard , 131 U.S. 123, 151 (1889).","Thompson v. Hubbard ,",131 U.S. 123,are only those prescribed by Congress.
"These cases deny the patentee any right to control the distribution of unpatented articles unless they are ""unsuited for any commercial noninfringing use.""","Dawson Chemical Co . v. Rohm Hass Co. , 448 U.S. 176, 198 (1980).","Dawson Chemical Co . v. Rohm Hass Co. ,",448 U.S. 176,unsuited for any commercial noninfringing use.
"""[O]n a defendant's motion for summary judgment, not only does the movant carry the burden of establishing that no genuine dispute of material fact exists, but the court also views the evidence in the light most favorable to the non-moving party.""","JL Beverage Co., LLC v. Jim Beam Brands Co. , 828 F.3d 1098, 1105 (9th Cir. 2016).","JL Beverage Co., LLC v. Jim Beam Brands Co. ,",828 F.3d 1098,"on a defendant's motion for summary judgment, not only does the movant carry the burden of establishing that no genuine dispute of material fact exists, but the court also views the evidence in the light most favorable to the non-moving party."
"To prevail at summary judgment, ""[t]he defendant-movant must demonstrate that, even viewing the evidence in the light most favorable to the plaintiff, the plaintiff cannot satisfy its burden to prove its claims.""","JL Beverage Co., LLC v. Jim Beam Brands Co. , 828 F.3d 1098, 1105 (9th Cir. 2016).","JL Beverage Co., LLC v. Jim Beam Brands Co. ,",828 F.3d 1098,"The defendant-movant must demonstrate that, even viewing the evidence in the light most favorable to the plaintiff, the plaintiff cannot satisfy its burden to prove its claims."
"Before addressing the Sleekcraft factors, we must define the relevant consumer market because ""a court conducting a trademark analysis should focus its attention on the relevant consuming public.""","Rearden LLC v. Rearden Com., Inc. , 683 F.3d 1190, 1214 (9th Cir. 2012).","Rearden LLC v. Rearden Com., Inc. ,",683 F.3d 1190,a court conducting a trademark analysis should focus its attention on the relevant consuming public.
"Marks are ""classified into one of five categories of increasing distinctiveness"" that warrant increasing protection: (1) generic, (2) descriptive, (3) suggestive, (4) arbitrary, and (5) fanciful.","Zobmondo Ent., LLC v. Falls Media, LLC , 602 F.3d 1108, 1113 (9th Cir. 2010).","Zobmondo Ent., LLC v. Falls Media, LLC ,",602 F.3d 1108,classified into one of five categories of increasing distinctiveness
"""Generic marks are not eligible for trademark protection.""","Zobmondo Ent., LLC v. Falls Media, LLC , 602 F.3d 1108, 1113 (9th Cir. 2010).","Zobmondo Ent., LLC v. Falls Media, LLC ,",602 F.3d 1108,Generic marks are not eligible for trademark protection.
"Under that rule, where a federal registrant and an alleged infringer are both ""using the respective marks in geographically separate and distinct market areas, with no real competition between them, and where there is no present likelihood that the federal registrant will expand his use into the area of use of the intrastate user, there is no cause shown for injunctive relief based on infringement.""","Mister Donut of Am., Inc. v. Mr. Donut, Inc. , 418 F.2d 838, 844 (9th Cir. 1969).","Mister Donut of Am., Inc. v. Mr. Donut, Inc. ,",418 F.2d 838,"using the respective marks in geographically separate and distinct market areas, with no real competition between them, and where there is no present likelihood that the federal registrant will expand his use into the area of use of the intrastate user, there is no cause shown for injunctive relief based on infringement."
"But if that federal registrant expands its business ""to the point that the use of the conflictingly similar marks by the registrant and the unauthorized user are no longer confined to separate and distinct market areas and there is established the likelihood of public confusion, the federal registrant is entitled under the authority of the Lanham Act to injunctive relief.""","Mister Donut of Am., Inc. v. Mr. Donut, Inc. , 418 F.2d 838, 844 (9th Cir. 1969).","Mister Donut of Am., Inc. v. Mr. Donut, Inc. ,",418 F.2d 838,"to the point that the use of the conflictingly similar marks by the registrant and the unauthorized user are no longer confined to separate and distinct market areas and there is established the likelihood of public confusion, the federal registrant is entitled under the authority of the Lanham Act to injunctive relief."
"3 In a reverse confusion case such as this one, the ""defendant's intent in selecting the mark"" may weigh in favor of confusion in a variety of different ways, depending upon the nature of the potential for confusion shown by the circumstances.","Marketquest Grp. v. BIC Corp. , 862 F.3d 927, 934 (9th Cir. 2017).","Marketquest Grp. v. BIC Corp. ,",862 F.3d 927,defendant's intent in selecting the mark
"A relevant intent may be shown ""by evidence that, for example, the defendant knew of the mark, should have known of the mark, intended to copy the plaintiff, failed to conduct a reasonably adequate trademark search, or otherwise culpably disregarded the risk of reverse confusion.""","Marketquest Grp. v. BIC Corp. , 862 F.3d 927, 934 (9th Cir. 2017).","Marketquest Grp. v. BIC Corp. ,",862 F.3d 927,"by evidence that, for example, the defendant knew of the mark, should have known of the mark, intended to copy the plaintiff, failed to conduct a reasonably adequate trademark search, or otherwise culpably disregarded the risk of reverse confusion."
"That both companies use the Internet generally as a marketing channel ""does not shed much light on the likelihood of consumer confusion.""","Network Automation, Inc. v. Advanced Sys. Concepts, Inc. , 638 F.3d 1137, 1151 (9th Cir. 2011).","Network Automation, Inc. v. Advanced Sys. Concepts, Inc. ,",638 F.3d 1137,does not shed much light on the likelihood of consumer confusion.
"The ""Pinterest"" Mark is Suggestive The purpose of examining the strength of the plaintiff's mark is to determine the scope of trademark protection to which the mark is entitled.","Entrepreneur Media, Inc. v. Smith , 279 F.3d 1135, 1141 (9th Cir.2002).","Entrepreneur Media, Inc. v. Smith ,",279 F.3d 1135,Pinterest
"""The more likely a mark is to be remembered and associated in the public mind with the mark's owner, the greater protection the mark is accorded by trademark laws.""","GoTo.com, Inc. v. Walt Disney Co. , 202 F.3d 1199, 1207 (9th Cir.2000).","GoTo.com, Inc. v. Walt Disney Co. ,",202 F.3d 1199,"The more likely a mark is to be remembered and associated in the public mind with the mark's owner, the greater protection the mark is accorded by trademark laws."
"WARDLAW, Circuit Judge: ""We must be acutely aware of excessive rigidity when applying the law in the Internet context; emerging technologies require a flexible approach.""","Brookfield Commc'ns, Inc. v. West Coast Entm't Corp. , 174 F.3d 1036, 1054 (9th Cir. 1999).","Brookfield Commc'ns, Inc. v. West Coast Entm't Corp. ,",174 F.3d 1036,We must be acutely aware of excessive rigidity when applying the law in the Internet context; emerging technologies require a flexible approach.
"§ 1114 , a party ""must prove: (1) that it has a protectible ownership interest in the mark; and (2) that the defendant's use of the mark is likely to cause consumer confusion.""","Dep't of Parks Recreation v. Bazaar Del Mundo Inc. , 448 F.3d 1118, 1124 (9th Cir. 2006).","Dep't of Parks Recreation v. Bazaar Del Mundo Inc. ,",448 F.3d 1118,must prove: (1) that it has a protectible ownership interest in the mark; and (2) that the defendant's use of the mark is likely to cause consumer confusion.
"Federal trademark ""[r]egistration alone may be sufficient in an appropriate case to satisfy a determination of distinctiveness.""","Lahoti v. VeriCheck, Inc. , 586 F.3d 1190, 1199 (9th Cir. 2009).","Lahoti v. VeriCheck, Inc. ,",586 F.3d 1190,Registration alone may be sufficient in an appropriate case to satisfy a determination of distinctiveness.
"However, ""while the registration adds something on the scales, we must come to grips with an assessment of the mark it-self.""","Zobmondo Entertainment, LLC v. Falls Media, LLC , 602 F.3d 1108, 1115 (9th Cir. 2010).","Zobmondo Entertainment, LLC v. Falls Media, LLC ,",602 F.3d 1108,"while the registration adds something on the scales, we must come to grips with an assessment of the mark it-self."
"Nevertheless, we have also ""recognized that liability for infringement may not be imposed for using a registered trademark in connection with truthful comparative advertising.""","Lindy Pen Co., Inc. v. Bic Pen Corp. , 725 F.2d 1240, 1248 (9th Cir. 1984).","Lindy Pen Co., Inc. v. Bic Pen Corp. ,",725 F.2d 1240,recognized that liability for infringement may not be imposed for using a registered trademark in connection with truthful comparative advertising.
"Our conclusion is further supported by the Third Circuit's rule that ""the standard of care to be exercised by the reasonably prudent purchaser will be equal to that of the least sophisticated consumer.""","Ford Motor Co. v. Summit Motor Prods., Inc., 930 F.2d 277, 293 (3d Cir. 1991).","Ford Motor Co. v. Summit Motor Prods., Inc.,",930 F.2d 277,the standard of care to be exercised by the reasonably prudent purchaser will be equal to that of the least sophisticated consumer.
"The District Court's Grant of Partial Summary Judgment This case deals with ""two distinct claims in the trademark infringement context: forward confusion and reverse confusion.""","Surfvivor Media, Inc. v. Survivor Prods., 406 F.3d 625, 630 (9th Cir. 2005).","Surfvivor Media, Inc. v. Survivor Prods.,",406 F.3d 625,two distinct claims in the trademark infringement context: forward confusion and reverse confusion.
"""[E]quity will protect even the uncommonly naive against deception from unfair competition.""","Stork Rest., Inc. v. Sahati, 166 F.2d 348, 358 (9th Cir. 1948).","Stork Rest., Inc. v. Sahati,",166 F.2d 348,equity will protect even the uncommonly naive against deception from unfair competition.
"Thus, likelihood of confusion of the casual consumer and the ""discerning buyer"" must be considered.","Oriental Foods, Inc. v. Chun King Sales, Inc., 244 F.2d 909, 915 (9th Cir. 1957).","Oriental Foods, Inc. v. Chun King Sales, Inc.,",244 F.2d 909,discerning buyer
"Defendant's Intent in Selecting the Mark It is settled that ""[a] party claiming trademark infringement need not demonstrate that the alleged infringer intended to deceive consumers.""","E. J. Gallo Winery v. Gallo Cattle Co., 967 F.2d 1280, 1293 (9th Cir. 1992).","E. J. Gallo Winery v. Gallo Cattle Co.,",967 F.2d 1280,A party claiming trademark infringement need not demonstrate that the alleged infringer intended to deceive consumers.
"Surveys in trademark cases are to be admitted as long as they are ""conducted according to accepted principles.""","Prudential Ins. Co. v. Gibraltar Fin. Corp., 694 F.2d 1150, 1156 (9th Cir. 1982).","Prudential Ins. Co. v. Gibraltar Fin. Corp.,",694 F.2d 1150,conducted according to accepted principles.
"Moreover, M2 Software failed to ""show that the survey was conducted in accordance with generally accepted survey principles and that the results were used in a statistically correct manner.""","Keith v. Volpe, 858 F.2d 467, 480 (9th Cir. 1988).","Keith v. Volpe,",858 F.2d 467,show that the survey was conducted in accordance with generally accepted survey principles and that the results were used in a statistically correct manner.
"""Under this standard, reversal is appropriate only if the district court based its decision on clearly erroneous findings of fact or erroneous legal principles.""","Brookfield Commc'ns, Inc. v. W. Coast Entm't Corp. , 174 F.3d 1036, 1045 (9th Cir.1999).","Brookfield Commc'ns, Inc. v. W. Coast Entm't Corp. ,",174 F.3d 1036,"Under this standard, reversal is appropriate only if the district court based its decision on clearly erroneous findings of fact or erroneous legal principles."
"However, ""marks must be considered in their entirety and as they appear in the marketplace.""","Official Airline Guides, Inc. v. Goss , 6 F.3d 1385, 1392 (9th Cir.1993).","Official Airline Guides, Inc. v. Goss ,",6 F.3d 1385,marks must be considered in their entirety and as they appear in the marketplace.
"Our review is governed by the `law of the case' doctrine, which prevents courts from ""reconsidering an issue previously decided by the same court, or a higher court in the identical case.""","Securities Investor Protection Corp. v. Vigman, 74 F.3d 932, 937 (9th Cir. 1996).","Securities Investor Protection Corp. v. Vigman,",74 F.3d 932,"reconsidering an issue previously decided by the same court, or a higher court in the identical case."
"Under the Lanham Act, in camera inspection is not sufficient; the district court must view the marks ""as they appear in the marketplace.""","E J Gallo Winery v. Gallo Cattle Co., 967 F.2d 1280, 1291 (9th Cir. 1992).","E J Gallo Winery v. Gallo Cattle Co.,",967 F.2d 1280,as they appear in the marketplace.
"""Counsel should not `sandbag' Daubert concerns until the close of an opponent's case, thereby placing opposing counsel and the trial court at a severe disadvantage.""","Alfred v. Caterpillar, Inc., 262 F.3d 1083, 1087 (10th Cir. 2001).","Alfred v. Caterpillar, Inc.,",262 F.3d 1083,"Counsel should not `sandbag' Daubert concerns until the close of an opponent's case, thereby placing opposing counsel and the trial court at a severe disadvantage."
"""Likelihood of confusion exists when consumers viewing the mark would probably assume that the product or service it represents is associated with the source of a different product or service identified by a similar mark.""","Scott Paper Co. v. Scott's Liquid Gold, Inc., 589 F.2d 1225, 1229 (3d Cir. 1978).","Scott Paper Co. v. Scott's Liquid Gold, Inc.,",589 F.2d 1225,Likelihood of confusion exists when consumers viewing the mark would probably assume that the product or service it represents is associated with the source of a different product or service identified by a similar mark.
"""The core element of trademark infringement is the likelihood of confusion, i.e., whether the similarity of the marks is likely to confuse customers about the source of the products.""","E. J. Gallo Winery v. Gallo Cattle Company, 967 F.2d 1280, 1290 (9th Cir. 1992).","E. J. Gallo Winery v. Gallo Cattle Company,",967 F.2d 1280,"The core element of trademark infringement is the likelihood of confusion, i.e., whether the similarity of the marks is likely to confuse customers about the source of the products."
"""Post-sale confusion occurs when consumers view a product outside the context in which it is originally distributed and confuse it with another, similar product.""","Academy of Motion Picture Arts and Sciences v. Creative House Promotions, Inc., 944 F.2d 1446, 1455 (9th Cir. 1991).","Academy of Motion Picture Arts and Sciences v. Creative House Promotions, Inc.,",944 F.2d 1446,"Post-sale confusion occurs when consumers view a product outside the context in which it is originally distributed and confuse it with another, similar product."
"(3) similarity of the marks Similarity of the marks is ""a critical question in the likelihood of confusion analysis.""","GoTo.Com, Inc. v. Walt Disney Co. , 202 F.3d 1199, 1205 (9th Cir. 2000).","GoTo.Com, Inc. v. Walt Disney Co. ,",202 F.3d 1199,a critical question in the likelihood of confusion analysis.
"The Second Circuit has found that ""[c]onsiderations of efficiency and fairness militate in favor of a full evidentiary submission for the Magistrate Judge's consideration.""","Hynes v. Squillace , 143 F.3d 653, 656 (2d Cir. 1998).","Hynes v. Squillace ,",143 F.3d 653,Considerations of efficiency and fairness militate in favor of a full evidentiary submission for the Magistrate Judge's consideration.
"As such, the Second Circuit has routinely ""upheld the exercise of the district court's discretion in refusing to allow supplementation of the record upon the district court's de novo review.""","Hynes v. Squillace , 143 F.3d 653, 656 (2d Cir. 1998).","Hynes v. Squillace ,",143 F.3d 653,upheld the exercise of the district court's discretion in refusing to allow supplementation of the record upon the district court's de novo review.
"The Similarity of the Marks ""The similarity of the marks will always be an important factor. Where the two marks are entirely dissimilar, there is no likelihood of confusion.""","Brookfield Commc'n, Inc. v. West Coast Entm't Corp. , 174 F.3d 1036, 1054 (9th Cir. 1999).","Brookfield Commc'n, Inc. v. West Coast Entm't Corp. ,",174 F.3d 1036,"The similarity of the marks will always be an important factor. Where the two marks are entirely dissimilar, there is no likelihood of confusion."
"""Nevertheless, the more similar the marks in terms of appearance, sound, and meaning, the greater the likelihood of confusion.""","Brookfield Commc'n, Inc. v. West Coast Entm't Corp. , 174 F.3d 1036, 1054 (9th Cir. 1999).","Brookfield Commc'n, Inc. v. West Coast Entm't Corp. ,",174 F.3d 1036,"Nevertheless, the more similar the marks in terms of appearance, sound, and meaning, the greater the likelihood of confusion."
"Although they may differ slightly in that eBay offers the additional auction component of its website, ""even services that are not identical are capable of confusing the public.""","GoTo.com, Inc. v. Walt Disney Co. , 202 F.3d 1199, 1206 (9th Cir. 2000).","GoTo.com, Inc. v. Walt Disney Co. ,",202 F.3d 1199,even services that are not identical are capable of confusing the public.
"The district court, however, failed to analyze Article III standing, which ""is required to establish a justiciable case or controversy within the jurisdiction of the federal courts.""","Gerlinger v. Amazon.com Inc. , 526 F.3d 1253, 1256 (9th Cir. 2008).","Gerlinger v. Amazon.com Inc. ,",526 F.3d 1253,is required to establish a justiciable case or controversy within the jurisdiction of the federal courts.
"We have held that the absence of standing under the antitrust laws ""affects a plaintiffs ability to recover, but does not implicate the subject matter jurisdiction of the court,"" as the absence of Article III standing would.","Gerlinger v. Amazon.com Inc. , 526 F.3d 1253, 1256 (9th Cir. 2008).","Gerlinger v. Amazon.com Inc. ,",526 F.3d 1253,"affects a plaintiffs ability to recover, but does not implicate the subject matter jurisdiction of the court,"
"The plaintiff can prove his injury using ""actual market experience and probable market behavior.""","Adams v. Watson , 10 F.3d 915, 923 (1st Cir. 1993).","Adams v. Watson ,",10 F.3d 915,actual market experience and probable market behavior.
"As we noted in Brookfield Communications, Inc. v. West Coast Entertainment Corp. , ""[t]he failure to prove instances of actual confusion is not dispositive against a trademark plaintiff, because actual confusion is hard to prove; difficulties in gathering evidence of actual confusion make its absence generally un-noteworthy.""","174 F.3d 1036, 1050 (9th Cir.1999).",,174 F.3d 1036,"The failure to prove instances of actual confusion is not dispositive against a trademark plaintiff, because actual confusion is hard to prove; difficulties in gathering evidence of actual confusion make its absence generally un-noteworthy."
"""If distinct claims for relief implicate different alignments of interests among the relevant jurisdictions, separate applications of the governmental interest analysis are required.""","McGhee v. Arabian American Oil Co., 871 F.2d 1412, 1422 (9th Cir. 1989).","McGhee v. Arabian American Oil Co.,",871 F.2d 1412,"If distinct claims for relief implicate different alignments of interests among the relevant jurisdictions, separate applications of the governmental interest analysis are required."
"Bryant, Castilla, Contreras, Cooney ""[B]efore a person can be charged with a fiduciary obligation, he must either knowingly undertake to act on behalf and for the benefit of another, or must enter into a relationship which imposes that undertaking as a matter of law.""","Committee on Children's Television, Inc. v. General Foods Corp., 35 Cal.3d 197, 221 (1983).","Committee on Children's Television, Inc. v. General Foods Corp.,",35 Cal.3d 197,"before a person can be charged with a fiduciary obligation, he must either knowingly undertake to act on behalf and for the benefit of another, or must enter into a relationship which imposes that undertaking as a matter of law."
"A claim for copyright infringement accrues ""when one has knowledge of a violation or is chargeable with such knowledge.""","Roley v. New World Pictures, Ltd., 19 F.3d 479, 481 (9th Cir. 1994).","Roley v. New World Pictures, Ltd.,",19 F.3d 479,when one has knowledge of a violation or is chargeable with such knowledge.
"Mattel's counter-claim for conversion must have been brought within three years of the theft, though the statute of limitations period is tolled ""'only for that period during which the claim is undiscovered by plaintiff or until such time as plaintiff, by the exercise of reasonable diligence, should have discovered it.'""","Jolly v. Eli Lilly Co., 44 Cal.3d 1103, 1111 (1988).","Jolly v. Eli Lilly Co.,",44 Cal.3d 1103,"'only for that period during which the claim is undiscovered by plaintiff or until such time as plaintiff, by the exercise of reasonable diligence, should have discovered it.'"
"""So long as a suspicion exists, it is clear that the plaintiff must go find the facts; she cannot wait for the facts to find her.""","Jolly v. Eli Lilly Co., 44 Cal.3d 1103, 1111 (1988).","Jolly v. Eli Lilly Co.,",44 Cal.3d 1103,"So long as a suspicion exists, it is clear that the plaintiff must go find the facts; she cannot wait for the facts to find her."
"Trade Dress Infringement To prevail on its claim for trade dress infringement MGA must show that ""(1) the trade dress is inherently distinctive or has acquired distinctiveness through secondary meaning; (2) there is a likelihood that the public will be confused by the infringing use; and (3) the trade dress is non-functional.""","Stephen W. Boney, Inc. v. Boney Servs., Inc., 127 F.3d 821, 828 (9th Cir. 1997).","Stephen W. Boney, Inc. v. Boney Servs., Inc.,",127 F.3d 821,(1) the trade dress is inherently distinctive or has acquired distinctiveness through secondary meaning; (2) there is a likelihood that the public will be confused by the infringing use; and (3) the trade dress is non-functional.
"""If a mark is inherently distinctive it need not be shown to also have a secondary meaning.""","Int'l Jensen, Inc. v. Metrosound U.S.A., Inc., 4 F.3d 819, 824 (9th Cir. 1993).","Int'l Jensen, Inc. v. Metrosound U.S.A., Inc.,",4 F.3d 819,If a mark is inherently distinctive it need not be shown to also have a secondary meaning.
"MGA responds by citing the success of its Bratz line as evidence that the trapezoidal packaging that housed the dolls must have acquired secondary meaning, but this argument ""cannot stand alone. To find otherwise would provide trade dress protection for any successful product or for the packaging of any successful product.""","Yankee Candle Co., Inc. v. Bridgewater Candle Co., 259 F.3d 25, 44 (1st Cir. 2001).","Yankee Candle Co., Inc. v. Bridgewater Candle Co.,",259 F.3d 25,cannot stand alone. To find otherwise would provide trade dress protection for any successful product or for the packaging of any successful product.
"More importantly, a product feature need not have a ""superior utilitarian advantage"" in order to be functional.","Disc Golf Ass'n, Inc. v. Champion Discs, Inc., 158 F.3d 1002, 1007 (9th Cir. 1998).","Disc Golf Ass'n, Inc. v. Champion Discs, Inc.,",158 F.3d 1002,superior utilitarian advantage
"(b) Proximity or Relatedness of Goods The proximity or relatedness of goods is relevant to determine whether the products ""are likely to be connected in the mind of a prospective purchaser.""","Fleischmann Distilling Corp. v. Maier Brewing Co., 314 F.2d 149, 159 (9th Cir. 1963).","Fleischmann Distilling Corp. v. Maier Brewing Co.,",314 F.2d 149,are likely to be connected in the mind of a prospective purchaser.
"The presence of these names all over the package ""goes far to eliminate confusion of origin.""","Bose Corp. v. Linear Design Labs, Inc., 467 F.2d 304, 309 (2d Cir. 1972).","Bose Corp. v. Linear Design Labs, Inc.,",467 F.2d 304,goes far to eliminate confusion of origin.
"More importantly, this is not a case involving the purchase of ""lower cost items like wine and cheese,"" in which consumers aren't likely to be careful about the products they buy.","Compare E. J. Gallo Winery v. Gallo Cattle Co., 967 F.2d 1280, 1293 (9th Cir. 1992).","Compare E. J. Gallo Winery v. Gallo Cattle Co.,",967 F.2d 1280,"lower cost items like wine and cheese,"
